scaffold,organism
NC_006347.1,Bact_fragilis_YCH46
NZ_AAFJ01000001.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000002.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000003.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000004.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000005.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000006.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000007.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000008.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000009.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000011.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000012.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000014.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000015.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000016.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000017.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000019.1,Camp_upsaliensis_RM3195_map
NZ_AAFJ01000020.1,Camp_upsaliensis_RM3195_map
NC_008618.1,Bifi_adolescentis_ATCC_15703
NC_010816.1,Bifi_longum_DJO10A
NC_011593.1,Bifi_longum_ATCC_15697
NC_011601.1,Esch_coli_E2348_69_GCF_000026545.1
NC_014656.1,Bifi_longum_BBMN68
NC_016776.1,Bact_fragilis_638R
NC_017218.1,Bifi_breve_ACS-071-V-Sch8b
NC_017999.1,Bifi_bifidum_BGN4
NZ_CP010437.1,Bifi_adolescentis_BB23
NZ_CP006741.1,Bifi_longum_GT15
NZ_CP008885.1,Bifi_longum_BXY01
NZ_CP007025.1,Esch_albertii_KF1
NZ_CP007443.1,Bifi_adolescentis_22L
NZ_AP014658.1,Bifi_longum_105-A
NZ_CP011073.1,Bact_fragilis_BOB25
NZ_CP011134.1,Esch_coli_VR50
NZ_AP012330.1,Bifi_pseudocatenulatum_JCM_1200
NZ_AP012322.1,Bifi_angulatum_JCM_7096
NZ_AP012325.1,Bifi_catenulatum_JCM_1194
NZ_AP012323.1,Bifi_bifidum_JCM_1255
NZ_AP012327.1,Bifi_catenulatum_JCM_15439
NZ_CP010412.1,Bifi_bifidum_BF3
NZ_LN877293.1,Bact_fragilis_BE1
NZ_CP012937.1,Bact_thetaiotaomicron_7330
NZ_CP012706.1,Bact_fragilis_S14
NZ_LT622246.1,Bact_ovatus_V975
NZ_CP016628.1,Esch_coli_FORC_041
NZ_CP010121.1,Esch_coli_C4
NZ_CP010238.1,Esch_coli_S50
NZ_CP020055.1,Esch_coli_AR_0069
NZ_CP023386.1,Esch_coli_1190
NZ_CP018937.1,Bact_fragilis_Q1F2
NZ_CP024147.1,Esch_coli_14EC033
NZ_CP022279.1,Esch_coli_STEC299
NZ_CP027126.1,Esch_coli_AR_0374
NZ_CP021387.1,Bifi_breve_NRBB09
NZ_CP028341.1,Bifi_adolescentis_1-11
NZ_LS483297.1,Esch_coli_NCTC11023
NZ_CP031133.1,Bifi_longum_BORI
NZ_CP023005.1,Bifi_adolescentis_6
NZ_CP022686.1,Esch_coli_Nissle_1917
NZ_CP022959.1,Esch_coli_ATCC_8739
NZ_CP024959.1,Bifi_adolescentis_P2P3
NZ_CP025199.1,Bifi_pseudocatenulatum_12
NZ_CP033206.1,Ente_faecium_RBWH1
NZ_LR134333.1,Kleb_oxytoca_NCTC13727
NZ_LR134231.1,Esch_coli_NCTC9087
NZ_LR134236.1,Esch_coli_NCTC9008
NZ_LR134216.1,Esch_coli_NCTC10973
NZ_LR134497.1,Camp_jejuni_NCTC13268
NZ_LR135475.1,Ente_faecium_na
NZ_LR135203.1,Ente_faecium_na_GCF_900639365.1
NZ_LS992168.1,Esch_coli_str_TO60
NZ_LR536431.1,Esch_coli_f9610206-5e81-11e8-bf7f-3c4a9275d6c8
NZ_CP039403.1,Esch_coli_382634_2f
NZ_CP034169.1,Ente_avium_352
NZ_CP036539.1,Bact_fragilis_DCMOUH0017B
NZ_CP036550.1,Bact_fragilis_DCMOUH0042B
NZ_CP040235.1,Bifi_longum_ZJ1
NZ_CP036555.1,Bact_fragilis_CCUG4856T
NZ_CP040878.1,Ente_faecium_HB-1
NZ_AP019724.1,Bact_uniformis_NBRC_113350
NZ_CP041359.1,Esch_coli_U1
NZ_CP041379.1,Bact_intestinalis_APC919_174
NZ_CP024590.1,Ente_avium_FDAARGOS_184
NZ_CP043610.1,Bact_fragilis_GUT04
NZ_CP034089.1,Bifi_longum_LTBL16
NZ_CP046307.1,Ente_gallinarum_FDAARGOS_728
NZ_CP047129.1,Bifi_adolescentis_ZJ2
NZ_CP047876.1,Esch_coli_LD22-1
NZ_CP048001.1,Bifi_longum_CACC_517
NZ_CP048337.1,Esch_coli_142_GCF_010365385.1
NZ_CP035751.1,Esch_coli_E110019
NZ_CP050865.1,Esch_coli_8-3-Ti3
NZ_AP021896.1,Esch_coli_2018-02-2CC
NZ_CP054224.1,Esch_coli_EcPF16
NZ_CP055231.1,Ente_hirae_13144
NZ_CP055230.1,Ente_hirae_13152
NZ_CP055229.1,Ente_hirae_13344
NZ_CP049075.1,Cand_Campylobacter_19S00001
NZ_LR778151.1,Esch_coli_SC476
NZ_CP057657.1,Esch_fergusonii_RHB19-C05
NZ_AP022261.1,Esch_coli_WP8-S18-ESBL-07
NZ_CP054282.1,Esch_coli_IDR1900005638-01-02
NZ_CP047277.1,Esch_coli_N18-04097
NZ_CP060061.1,Esch_coli_G6_7
NZ_CP040630.1,Bact_sp._PHL_2737
NZ_CP060493.1,Bifi_longum_BIM_B-813D
NZ_CP061749.1,Esch_coli_2273-PO3
NZ_LR882493.1,Esch_coli_Quinolone_resistant
NZ_CP063912.1,Kleb_variicola_BS359-2-1
NZ_CP062824.1,Esch_coli_Res13-Lact-PER13-34
NZ_CP062871.1,Esch_coli_Res13-Lact-PEA14-20
NZ_CP047710.1,Esch_coli_Eco-15
NZ_CP068122.1,Ente_hirae_FDAARGOS_1124
NZ_CP068812.1,Esch_coli_RIVM_C029020
NZ_CP045612.1,Bact_xylanisolvens_funn3
NZ_CP044428.1,Bact_fragilis_DK1985
NZ_CP045206.1,Esch_coli_DE17
NZ_CP069710.1,Esch_coli_EA2
NZ_CP069563.1,Bact_fragilis_FDAARGOS_1225
NZ_CP069882.1,Esch_coli_FDAARGOS_1289
NZ_CP070930.1,Esch_coli_30COLEC
NZ_CP070996.1,Bifi_longum_JCM_19995
NZ_CP071683.1,Bifi_longum_JCM_7053
NZ_CP053072.1,Bifi_adolescentis_PRL2019
NZ_CP072212.1,Bact_xylanisolvens_CL11T00C41
NZ_CP072227.1,Bact_eggerthii_CL11T00C20
NZ_CP072255.1,Bact_uniformis_CL03T12C37
NZ_CP072242.1,Bact_thetaiotaomicron_CL06T03C18
NZ_CP072236.1,Bact_uniformis_CL06T06C18
NZ_CP072224.1,Bact_thetaiotaomicron_CL11T00C24
NZ_CP072258.1,Bact_caccae_CL03T12C61
NZ_CP032073.1,Esch_coli_CT29
NZ_CP072216.1,Bact_xylanisolvens_CL11T00C03
NZ_CP049852.1,Esch_coli_UPEC-774U_190308
NZ_CP042903.1,Esch_coli_CFSAN061761
NZ_CP082280.1,Ente_cancerogenus_HAEC1
NZ_CP075193.1,Bact_thetaiotaomicron_CL15T12C11
NZ_CP081913.1,Bact_stercoris_BFG-121
NZ_CP081898.1,Bact_thetaiotaomicron_BFG-55
NZ_CP081899.1,Bact_salyersiae_BFG-288
NZ_CP081902.1,Bact_salyersiae_BFG-256
NZ_CP081922.1,Bact_fragilis_BFG-1
NZ_CP081920.1,Bact_caccae_BFG-100
NZ_CP081917.1,Bact_ovatus_BFG-107
NZ_CP079233.1,Bifi_pseudocatenulatum_YIT11953
NZ_CP085488.1,Esch_coli_VCSW8
NZ_AP024712.1,Bifi_bifidum_YIT_10347
NZ_CP090598.1,Bifi_pseudocatenulatum_JCLA3
NZ_CP092641.1,Bact_thetaiotaomicron_VPI_5482
NZ_CP028750.1,Esch_coli_A25
NZ_CP028761.1,Esch_coli_A13
NZ_CP088203.1,Ente_durans_S8-3
NZ_OW967178.1,Esch_coli_362
NZ_OU901070.1,Bact_ovatus_VPIC145
NZ_CP102541.1,Bifi_longum_BB-02
CP103972.1,Esch_coli_DLI_5a
NZ_CP102256.1,Bact_caccae_ATCC_43185
NZ_CP104392.1,Ente_raffinosus_HG-5
NZ_CP104764.1,Ente_raffinosus_Er676
NZ_CP093458.1,Kleb_pneumoniae_VA684
NZ_AP027299.1,Ente_hirae_L6E
NZ_CP132603.1,Kleb_pneumoniae_505107
NZ_AP028392.1,Camp_jejuni_BCH-11447
NZ_AP028420.1,Ente_asburiae_TA61661
