ESC1232905001S1K	0	Bact_caccae_CL03T12C61.fa.gz	53897	53741	60831	0.475	4.089	1.913	0.307	0.557	0.935	0.391	0.120	0.042	0.045
ESC1358302001S1K	0	Bact_ovatus_V975.fa.gz	63623	63526	81902	0.439	2.478	1.071	0.251	0.668	0.976	0.496	0.125	0.048	0.049
ESO1212703120S1K	0	Bact_uniformis_CL06T06C18.fa.gz	47840	47177	299062	0.812	49.720	39.980	0.440	0.812	0.812	2.343	2.413	0.191	0.236
ESO1212703120S1K	1	Bact_sp._PHL_2737.fa.gz	54199	52653	260737	0.808	15.045	11.947	0.264	0.808	0.966	0.576	0.810	0.134	0.139
ESO1212703120S1K	2	Bact_caccae_BFG-100.fa.gz	49508	48118	218195	0.843	9.688	8.069	0.220	0.843	0.988	0.905	0.497	0.130	0.132
ESO1212703120S1K	3	Bact_thetaiotaomicron_VPI_5482.fa.gz	61819	59425	177654	0.648	4.469	2.863	0.124	0.688	1.020	0.140	0.218	0.037	0.038
ESO1212703120S1K	4	Bact_nordii_FDAARGOS_1461.fa.gz	55722	54206	139123	0.642	5.179	3.280	0.148	0.667	0.970	0.199	0.228	0.041	0.042
ESO1212703120S1K	5	Bact_intestinalis_APC919_174.fa.gz	56963	56010	104349	0.596	4.242	2.504	0.136	0.649	0.969	0.270	0.179	0.033	0.034
ESO1212703120S1K	6	Bact_uniformis_NBRC_113350.fa.gz	46678	11940	70965	0.491	36.806	17.650	0.240	0.491	0.770	1.051	0.273	0.022	0.028
ESO1212704120S1K	0	Bact_uniformis_CL06T06C18.fa.gz	47840	47653	233192	0.619	53.172	32.247	0.388	0.619	0.983	1.792	1.256	0.091	0.092
ESO1212704120S1K	1	Bact_fragilis_BE1.fa.gz	51373	50746	203686	0.814	15.185	12.261	0.253	0.814	0.955	0.670	0.502	0.130	0.136
ESO1212704120S1K	2	Bact_thetaiotaomicron_CL15T12C11.fa.gz	67497	65911	162403	0.691	10.015	6.841	0.247	0.692	0.943	0.266	0.365	0.077	0.082
ESO1212704120S1K	3	Bact_xylanisolvens_CL11T00C03.fa.gz	61640	57695	116863	0.605	5.994	3.478	0.150	0.624	0.951	0.509	0.167	0.034	0.035
ESO1213404320S1K	0	Bact_uniformis_CL11T00C07.fa.gz	50614	50216	331320	0.779	58.621	44.645	0.313	0.779	0.921	7.635	4.627	0.136	0.148
ESO1213404320S1K	1	Bact_thetaiotaomicron_CL15T12C11.fa.gz	67497	66928	292190	0.781	25.533	19.747	0.265	0.781	0.899	2.097	2.693	0.114	0.126
ESO1213404320S1K	2	Bact_caccae_BFG-100.fa.gz	49508	47034	239889	0.849	15.551	13.069	0.168	0.849	0.903	0.901	1.252	0.093	0.103
ESO1213404320S1K	3	Bact_fragilis_CCUG4856T.fa.gz	51592	50509	199959	0.848	10.437	8.796	0.145	0.848	0.949	1.081	0.902	0.084	0.088
ESO1213404320S1K	4	Bact_cellulosilyticus_CL06T03C01.fa.gz	70714	67488	157123	0.670	19.403	12.852	0.333	0.670	0.980	3.081	1.770	0.098	0.100
ESO1228703120S1K	0	Bact_fragilis_DCMOUH0017B.fa.gz	53308	52742	302730	0.788	20.312	15.846	0.408	0.788	0.957	0.618	0.761	0.191	0.199
ESO1228703120S1K	1	Bact_ovatus_BFG-107.fa.gz	65808	64962	261192	0.743	6.577	4.756	0.260	0.749	0.859	0.304	0.286	0.093	0.108
ESO1228703120S1K	2	Bact_uniformis_CL06T06C18.fa.gz	47840	46547	212924	0.680	6.095	4.064	0.213	0.692	0.935	0.750	0.174	0.065	0.069
ESO1228703120S1K	3	Bact_thetaiotaomicron_CL11T00C24.fa.gz	65660	61178	181286	0.599	3.161	1.861	0.163	0.710	0.930	0.193	0.105	0.046	0.049
ESO1232711120S1K	0	Bact_uniformis_CL06T06C18.fa.gz	47840	47390	149253	0.587	6.977	4.004	0.309	0.597	0.940	0.475	0.222	0.061	0.065
ESO1232711120S1K	1	Bact_fragilis_DCMOUH0042B.fa.gz	50470	50058	121457	0.473	3.043	1.417	0.167	0.625	0.973	0.241	0.082	0.030	0.031
ESO1232906120S1K	0	Bact_uniformis_CL06T06C18.fa.gz	47840	47535	118373	0.611	5.466	3.270	0.322	0.636	0.932	0.665	0.293	0.074	0.080
ESO1232906120S1K	1	Bact_eggerthii_CL11T00C20.fa.gz	48513	45339	89308	0.557	4.421	2.396	0.334	0.613	0.938	0.154	0.206	0.066	0.070
ESO1232906120S1K	2	Bact_ovatus_V975.fa.gz	63623	62867	64036	0.371	2.436	0.889	0.255	0.630	0.988	0.092	0.105	0.037	0.037
ESO1233804120S1K	0	Bact_uniformis_NBRC_113350.fa.gz	46678	46587	262673	0.708	441.093	309.324	0.374	0.708	0.968	10.803	11.935	0.128	0.133
ESO1233804120S1K	1	Bact_ovatus_BFG-107.fa.gz	65808	64695	229712	0.648	170.023	107.165	0.293	0.648	0.967	9.566	5.855	0.077	0.080
ESO1233804120S1K	2	Bact_fragilis_DCMOUH0017B.fa.gz	53308	52407	187762	0.791	88.352	68.535	0.213	0.791	0.963	6.254	3.006	0.102	0.106
ESO1233804120S1K	3	Bact_thetaiotaomicron_VPI_5482.fa.gz	61819	59284	146314	0.656	82.265	53.285	0.237	0.656	0.991	3.017	2.625	0.066	0.067
ESO1233804120S1K	4	Bact_caccae_BFG-100.fa.gz	49508	46432	107450	0.858	27.331	23.238	0.106	0.858	0.985	2.247	0.894	0.066	0.067
ESO1233807120S1K	0	Bact_fragilis_86-5443-2-2.fa.gz	52167	52123	178416	0.808	32.359	25.500	0.331	0.808	0.947	0.847	1.361	0.166	0.175
ESO1233807120S1K	1	Bact_ovatus_V975.fa.gz	63623	63311	136276	0.800	15.698	12.358	0.289	0.800	0.974	0.478	0.793	0.144	0.148
ESO1233807120S1K	2	Bact_uniformis_CL03T12C37.fa.gz	47712	47388	85653	0.630	31.673	19.727	0.483	0.630	0.976	2.784	0.944	0.118	0.121
ESO1233822120S1K	0	Bact_fragilis_GUT04.fa.gz	52693	52553	284845	0.814	174.731	141.137	0.245	0.814	1.001	3.686	5.853	0.132	0.132
ESO1233822120S1K	1	Bact_uniformis_CL03T12C37.fa.gz	47712	47500	242076	0.659	289.626	187.813	0.393	0.659	0.960	16.090	7.102	0.108	0.112
