within_hh_id,within_sample1,within_sample2,scaffold,species,bridge_sample,outside_sample,outside_hh_id,within_study,outside_study
2122041,ESO1212204120S1K,EST1212204101S1K,NZ_CP055229.1,Entc_hirae,ESO1212204120S1K,EST1356604101S1K,3566041,WASHB,WASHB
2122041,ESO1212204120S1K,EST1212204101S1K,NZ_CP055229.1,Entc_hirae,EST1212204101S1K,EST1356604101S1K,3566041,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,ESO1213405120S1K,2134051,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,ESO1247101120S1K,2471011,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,EST1234709101S1K,2347091,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,EST1241108101S1K,2411081,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,EST1242209101S1K,2422091,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,EST1350511101S1K,3505111,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,EST1356601101S1K,3566011,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,EST1358301101S1K,3583011,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,EST1358301201S1K,3583012,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,stools_11021150,11021,WASHB,Nairobi
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,ESO1212705120S1K,stools_11024150,11024,WASHB,Nairobi
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,ESO1213405120S1K,2134051,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,ESO1247101120S1K,2471011,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,EST1234709101S1K,2347091,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,EST1241108101S1K,2411081,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,EST1242209101S1K,2422091,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,EST1350511101S1K,3505111,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,EST1356601101S1K,3566011,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,EST1358301101S1K,3583011,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,EST1358301201S1K,3583012,WASHB,WASHB
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,stools_11021150,11021,WASHB,Nairobi
2127051,ESO1212705120S1K,EST1212705101S1K,NZ_CP055229.1,Entc_hirae,EST1212705101S1K,stools_11024150,11024,WASHB,Nairobi
2381051,ESO1238105120S1K,EST1238105101S1K,NZ_CP040878.1,Entc_faecium,ESO1238105120S1K,EST2359005102S1K,3590051,WASHB,WASHB
2381051,ESO1238105120S1K,EST1238105101S1K,NZ_CP040878.1,Entc_faecium,ESO1238105120S1K,stools_12086501,12086,WASHB,Nairobi
2381051,ESO1238105120S1K,EST1238105101S1K,NZ_CP040878.1,Entc_faecium,EST1238105101S1K,stools_12086501,12086,WASHB,Nairobi
2411041,ESO1241104120S1K,EST1241104101S1K,NZ_CP055230.1,Entc_hirae,ESO1241104120S1K,ESO1233809120S1K,2338091,WASHB,WASHB
2411041,ESO1241104120S1K,EST1241104101S1K,NZ_CP055230.1,Entc_hirae,EST1241104101S1K,ESO1233809120S1K,2338091,WASHB,WASHB
