within_hh_id,scaffold,species,outside_hh_id,within_study,outside_study
11009,NZ_AP027299.1,Entc_hirae,11015,Nairobi,Nairobi
11009,NZ_AP027299.1,Entc_hirae,11016,Nairobi,Nairobi
11009,NZ_AP027299.1,Entc_hirae,2471091,Nairobi,WASHB
11009,NZ_AP027299.1,Entc_hirae,3505071,Nairobi,WASHB
11009,NZ_AP027299.1,Entc_hirae,3505111,Nairobi,WASHB
11015,NZ_AP027299.1,Entc_hirae,11009,Nairobi,Nairobi
11015,NZ_AP027299.1,Entc_hirae,11016,Nairobi,Nairobi
11015,NZ_AP027299.1,Entc_hirae,2471091,Nairobi,WASHB
11015,NZ_AP027299.1,Entc_hirae,3505071,Nairobi,WASHB
11015,NZ_AP027299.1,Entc_hirae,3505111,Nairobi,WASHB
11029,NZ_CP068122.1,Entc_hirae,2327021,Nairobi,WASHB
12069,NZ_CP034169.1,Entc_avium,12065,Nairobi,Nairobi
12069,NZ_CP034169.1,Entc_avium,12070,Nairobi,Nairobi
2122041,NZ_CP055229.1,Entc_hirae,3566041,WASHB,WASHB
2127051,NZ_CP055229.1,Entc_hirae,11021,WASHB,Nairobi
2127051,NZ_CP055229.1,Entc_hirae,11024,WASHB,Nairobi
2127051,NZ_CP055229.1,Entc_hirae,2134051,WASHB,WASHB
2127051,NZ_CP055229.1,Entc_hirae,2347091,WASHB,WASHB
2127051,NZ_CP055229.1,Entc_hirae,2411081,WASHB,WASHB
2127051,NZ_CP055229.1,Entc_hirae,2422091,WASHB,WASHB
2127051,NZ_CP055229.1,Entc_hirae,2471011,WASHB,WASHB
2127051,NZ_CP055229.1,Entc_hirae,3505111,WASHB,WASHB
2127051,NZ_CP055229.1,Entc_hirae,3566011,WASHB,WASHB
2127051,NZ_CP055229.1,Entc_hirae,3583011,WASHB,WASHB
2127051,NZ_CP055229.1,Entc_hirae,3583012,WASHB,WASHB
2381051,NZ_CP040878.1,Entc_faecium,12086,WASHB,Nairobi
2381051,NZ_CP040878.1,Entc_faecium,3590051,WASHB,WASHB
2411041,NZ_CP055230.1,Entc_hirae,11055,WASHB,Nairobi
2411041,NZ_CP055230.1,Entc_hirae,12098,WASHB,Nairobi
2411041,NZ_CP055230.1,Entc_hirae,2338091,WASHB,WASHB
2411041,NZ_CP055230.1,Entc_hirae,2472111,WASHB,WASHB
2411041,NZ_CP055230.1,Entc_hirae,3566021,WASHB,WASHB
3590051,NZ_AP027299.1,Entc_hirae,2421011,WASHB,WASHB
3590051,NZ_CP040878.1,Entc_faecium,12086,WASHB,Nairobi
3590051,NZ_CP040878.1,Entc_faecium,2381051,WASHB,WASHB
