source,target,interaction,scaffold,species,HH_type,genus,distance
stools_11008101,stools_11013101,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,199.176069253001
stools_11008101,stools_12084101,strain_sharing,NZ_CP088203.1,Entc_durans,Between,Entc,4884.49086918318
stools_11009101,stools_11009150,strain_sharing,NZ_AP027299.1,Entc_hirae,Within,Entc,0
stools_11009101,stools_11015101,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,19.1649247828134
stools_11009101,stools_11015501,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,19.1649247828134
stools_11009101,stools_11016150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,98.8961269631885
stools_11009150,stools_11015101,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,19.1649247828134
stools_11009150,stools_11015501,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,19.1649247828134
stools_11009150,stools_11016150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,98.8961269631885
stools_11013101,stools_11018101,strain_sharing,NZ_LR135475.1,Entc_faecium,Between,Entc,90.8307160707097
stools_11015101,stools_11015501,strain_sharing,NZ_AP027299.1,Entc_hirae,Within,Entc,0
stools_11015101,stools_11016150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,84.978629275583
stools_11015501,stools_11016150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,84.978629275583
stools_11018101,stools_11044101,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,255.753218505535
stools_11018101,stools_12073101,strain_sharing,NZ_CP033206.1,Entc_faecium,Between,Entc,5122.73231941076
stools_11018101,stools_12073101,strain_sharing,NZ_LR135475.1,Entc_faecium,Between,Entc,5122.73231941076
stools_11019101,stools_11019501,strain_sharing,NZ_AP027299.1,Entc_hirae,Within,Entc,0
stools_11021150,stools_11024150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,27.6003583021039
stools_11029101,stools_11029150,strain_sharing,NZ_CP068122.1,Entc_hirae,Within,Entc,0
stools_11029101,stools_11029501,strain_sharing,NZ_CP068122.1,Entc_hirae,Within,Entc,0
stools_11029150,stools_11029501,strain_sharing,NZ_CP068122.1,Entc_hirae,Within,Entc,0
stools_11039101,stools_11047101,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,91.2614778658265
stools_11039101,stools_12065101,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,4885.28058527676
stools_11041101,stools_11044101,strain_sharing,NZ_CP104392.1,Entc_raffinosus,Between,Entc,20.757127889175
stools_11041101,stools_12066101,strain_sharing,NZ_CP046307.1,Entc_gallinarum,Between,Entc,4857.74414268229
stools_11044101,stools_12066101,strain_sharing,NZ_CP104392.1,Entc_raffinosus,Between,Entc,4873.44469727864
stools_11044101,stools_12070101,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,4769.94952341178
stools_11045101,stools_12066101,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,4802.57991070063
stools_11045101,stools_12070101,strain_sharing,NZ_CP104764.1,Entc_raffinosus,Between,Entc,4699.11632036646
stools_11051150,stools_11051501,strain_sharing,NZ_CP040878.1,Entc_faecium,Within,Entc,0
stools_11052101,stools_12070101,strain_sharing,NZ_CP046307.1,Entc_gallinarum,Between,Entc,5311.09911030502
stools_11055101,stools_12098150,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,5554.15197579428
stools_12062101,stools_12066101,strain_sharing,NZ_LR135203.1,Entc_faecium,Between,Entc,91.5668528128302
stools_12065101,stools_12069150,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,202.392479456671
stools_12066101,stools_12073101,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,63.4406047898701
stools_12066101,stools_12073101,strain_sharing,NZ_CP024590.1,Entc_avium,Between,Entc,63.4406047898701
stools_12066101,stools_12100101,strain_sharing,NZ_CP024590.1,Entc_avium,Between,Entc,674.676403696801
stools_12066101,stools_12100101,strain_sharing,NZ_CP104764.1,Entc_raffinosus,Between,Entc,674.676403696801
stools_12069101,stools_12069150,strain_sharing,NZ_CP034169.1,Entc_avium,Within,Entc,0
stools_12069101,stools_12070101,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,223.494670839309
stools_12070101,stools_12100101,strain_sharing,NZ_CP104764.1,Entc_raffinosus,Between,Entc,576.777706554912
stools_12073101,stools_12100101,strain_sharing,NZ_CP034169.1,Entc_avium,Between,Entc,689.065015384825
stools_12073101,stools_12100101,strain_sharing,NZ_CP024590.1,Entc_avium,Between,Entc,689.065015384825
stools_12073101,stools_12100101,strain_sharing,NZ_CP033206.1,Entc_faecium,Between,Entc,689.065015384825
