source,target,interaction,scaffold,species,HH_type,genus,distance
ESO1212204120S1K,EST1212204101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Within,Entc,0
ESO1212204120S1K,EST1356604101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,27711.4458966681
ESO1212705120S1K,ESO1213405120S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,1539.99861803609
ESO1212705120S1K,ESO1247101120S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,24345.3974243984
ESO1212705120S1K,EST1212705101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Within,Entc,0
ESO1212705120S1K,EST1234709101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,14795.7997699291
ESO1212705120S1K,EST1241108101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,10052.7102193973
ESO1212705120S1K,EST1242209101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,9184.98096040347
ESO1212705120S1K,EST1350511101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,25159.8306466391
ESO1212705120S1K,EST1356601101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,28505.6321727892
ESO1212705120S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,26121.9967612796
ESO1212705120S1K,EST1358301201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,26122.055375272
ESO1213405120S1K,ESO1247101120S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,25227.6080786651
ESO1213405120S1K,EST1212705101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,1539.99861803609
ESO1213405120S1K,EST1234709101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,15403.1300718555
ESO1213405120S1K,EST1241108101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,8973.65007494303
ESO1213405120S1K,EST1242209101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,8758.88944725712
ESO1213405120S1K,EST1350511101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,25806.6775187955
ESO1213405120S1K,EST1356601101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,29277.0356079115
ESO1213405120S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,26931.7012641166
ESO1213405120S1K,EST1358301201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,26931.6950474308
ESO1233809120S1K,ESO1241104120S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,24882.3138891305
ESO1233809120S1K,EST1241104101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,24882.3138891305
ESO1233809120S1K,EST1356602101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,14873.1309711219
ESO1238105120S1K,EST1238105101S1K,strain_sharing,NZ_CP040878.1,Entc_faecium,Within,Entc,0
ESO1238105120S1K,EST2359005102S1K,strain_sharing,NZ_CP040878.1,Entc_faecium,Between,Entc,23510.4639204276
ESO1241104120S1K,EST1241104101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Within,Entc,0
ESO1241104120S1K,EST1356602101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,37794.206956173
ESO1242101120S1K,EST2359005102S1K,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,54187.7812874005
ESO1247101120S1K,EST1212206101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,23397.9037972856
ESO1247101120S1K,EST1212705101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,24345.3974243984
