ESC1232905001S1K	0	Cand_Campylobacter_19S00001	17187	17183	10454	0.520	3.183	1.618	0.446	0.649	0.987	0.055	0.024	0.096	0.098
ESO1212703120S1K	0	Cand_Campylobacter_19S00001	17187	17181	11957	0.600	7.203	4.229	0.676	0.609	0.991	0.139	0.094	0.149	0.150
ESO1212705120S1K	0	Cand_Campylobacter_19S00001	17187	17182	11007	0.496	8.419	4.082	0.251	0.504	0.888	0.139	0.035	0.028	0.032
ESO1213402120S1K	0	Cand_Campylobacter_19S00001	17187	17181	15738	0.693	26.387	17.891	0.785	0.693	0.996	0.253	0.199	0.260	0.261
ESO1232702120S1K	0	Cand_Campylobacter_19S00001	17187	17181	13720	0.677	5.951	3.936	0.736	0.690	1.004	0.151	0.111	0.236	0.237
ESO1232707120S1K	0	Cand_Campylobacter_19S00001	17187	17184	14803	0.722	20.862	14.745	0.879	0.722	1.002	0.741	0.651	0.331	0.331
ESO1232710120S1K	0	Cand_Campylobacter_19S00001	17187	17179	17538	0.778	34.697	26.421	0.898	0.778	1.005	0.578	0.519	0.420	0.422
ESO1232711120S1K	0	Cand_Campylobacter_19S00001	17187	17182	14816	0.671	8.322	5.457	0.612	0.674	0.994	0.083	0.051	0.185	0.186
ESO1236812120S1K	0	Cand_Campylobacter_19S00001	17187	17182	13105	0.631	9.143	5.647	0.694	0.633	0.987	0.138	0.095	0.173	0.176
ESO1238001120S1K	0	Cand_Campylobacter_19S00001	17187	17184	14950	0.734	32.818	23.562	0.850	0.734	1.000	0.320	0.272	0.336	0.336
ESO1238002120S1K	0	Cand_Campylobacter_19S00001	17187	17183	14929	0.685	29.900	20.036	0.852	0.685	1.008	0.351	0.299	0.272	0.274
ESO1241104120S1K	0	Cand_Campylobacter_19S00001	17187	17181	17286	0.768	22.388	16.818	0.836	0.768	1.000	0.289	0.242	0.379	0.380
ESO1241108220S1K	0	Cand_Campylobacter_19S00001	17187	17181	14794	0.680	36.783	24.477	0.822	0.680	1.002	0.436	0.358	0.258	0.259
ESO1242101120S1K	0	Cand_Campylobacter_19S00001	17187	17184	5795	0.259	2.410	0.609	0.415	0.567	0.981	0.063	0.026	0.034	0.034
ESO1242208120S1K	0	Cand_Campylobacter_19S00001	17187	17184	15216	0.676	13.286	8.776	0.668	0.676	0.994	0.125	0.084	0.205	0.206
ESO1242209120S1K	0	Cand_Campylobacter_19S00001	17187	17183	16188	0.712	23.054	16.071	0.890	0.712	1.000	0.181	0.161	0.322	0.322
ESO1242704120S1K	0	Cand_Campylobacter_19S00001	17187	17183	15854	0.709	71.905	49.908	0.863	0.709	1.002	0.572	0.494	0.307	0.308
ESO1242801120S1K	0	Cand_Campylobacter_19S00001	17187	17182	14485	0.684	8.647	5.777	0.658	0.686	1.001	0.103	0.068	0.211	0.211
ESO1242805120S1K	0	Cand_Campylobacter_19S00001	17187	17183	8996	0.398	2.898	1.128	0.295	0.589	0.967	0.060	0.018	0.039	0.041
ESO1247101120S1K	0	Cand_Campylobacter_19S00001	17187	17180	12839	0.634	9.242	5.731	0.612	0.636	0.986	0.137	0.084	0.155	0.157
ESO1247203120S1K	0	Cand_Campylobacter_19S00001	17187	17183	15011	0.726	10.710	7.606	0.682	0.726	0.994	0.123	0.084	0.259	0.261
ESO1247206120S1K	0	Cand_Campylobacter_19S00001	17187	17181	17706	0.799	25.818	20.183	0.778	0.799	0.995	0.366	0.285	0.394	0.396
ESO1247208120S1K	0	Cand_Campylobacter_19S00001	17187	17180	15281	0.693	22.345	15.154	0.818	0.693	0.999	0.219	0.179	0.272	0.272
ESO1254306120S1K	0	Cand_Campylobacter_19S00001	17187	17184	15229	0.755	24.821	18.318	0.838	0.755	0.998	0.348	0.292	0.360	0.361
ESO1256801120S1K	0	Cand_Campylobacter_19S00001	17187	17181	17730	0.757	17.542	12.999	0.849	0.757	0.999	0.254	0.216	0.368	0.369
ESO1256804120S1K	0	Cand_Campylobacter_19S00001	17187	17182	20107	0.784	8.562	6.560	0.739	0.785	0.998	0.162	0.119	0.356	0.357
ESO1256808120S1K	0	Camp_coli_WA333	16789	16786	5385	0.219	2.176	0.433	0.418	0.622	0.940	0.098	0.041	0.033	0.035
ESO1350502120S1K	0	Cand_Campylobacter_19S00001	17187	17183	11695	0.573	4.267	2.388	0.612	0.630	0.993	0.082	0.050	0.138	0.139
ESO1350804120S1K	0	Cand_Campylobacter_19S00001	17187	17183	12391	0.621	7.317	4.439	0.765	0.628	0.999	0.102	0.078	0.187	0.187
ESO1350807120S1K	0	Cand_Campylobacter_19S00001	17187	17180	11553	0.497	5.844	2.841	0.413	0.528	0.949	0.112	0.046	0.054	0.057
ESO1356601120S1K	0	Cand_Campylobacter_19S00001	17187	17181	15110	0.729	16.630	11.866	0.853	0.729	0.993	0.243	0.207	0.328	0.331
ESO1356602120S1K	0	Cand_Campylobacter_19S00001	17187	17183	15432	0.738	23.918	17.276	0.871	0.738	0.998	0.278	0.242	0.350	0.350
ESO1356803120S1K	0	Cand_Campylobacter_19S00001	17187	17184	12325	0.597	4.941	2.882	0.633	0.632	0.998	0.082	0.052	0.151	0.151
ESO1357103120S1K	0	Cand_Campylobacter_19S00001	17187	17183	7230	0.311	2.611	0.793	0.267	0.568	0.982	0.079	0.021	0.026	0.027
ESO1357104120S1K	0	Cand_Campylobacter_19S00001	17187	17180	13831	0.686	17.934	12.035	0.880	0.686	1.000	0.334	0.294	0.284	0.284
ESO1357107120S1K	0	Cand_Campylobacter_19S00001	17187	17181	15745	0.763	8.778	6.554	0.738	0.764	0.993	0.141	0.104	0.326	0.328
ESO1358301120S1K	0	Cand_Campylobacter_19S00001	17187	17181	8152	0.348	2.732	0.930	0.318	0.575	0.988	0.067	0.021	0.036	0.037
ESO1358304120S1K	0	Cand_Campylobacter_19S00001	17187	17180	15451	0.704	18.958	13.054	0.819	0.704	1.002	0.195	0.159	0.285	0.286
ESO1358602120S1K	0	Cand_Campylobacter_19S00001	17187	17183	12633	0.632	7.229	4.468	0.784	0.640	0.997	0.137	0.107	0.202	0.203
EST1212206101S1K	0	Cand_Campylobacter_19S00001	17187	17181	14514	0.683	23.441	15.672	0.852	0.683	0.993	0.369	0.315	0.270	0.272
EST1212704101S1K	0	Cand_Campylobacter_19S00001	17187	17183	12084	0.634	5.933	3.675	0.731	0.650	0.995	0.201	0.147	0.195	0.196
EST1232702101S1K	0	Cand_Campylobacter_19S00001	17187	17182	12405	0.631	4.916	3.033	0.600	0.663	0.999	0.106	0.064	0.166	0.167
