sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim	sample1_study	sample1_area	sample1_hhid	sample1_tr	sample1_gps_lat	sample1_gps_lon	sample1_location	sample2_study	sample2_area	sample2_hhid	sample2_tr	sample2_gps_lat	sample2_gps_lon	sample2_location	distance	HH_type	tr	area	location	species	genus	coverage_mean	callablePct_mean	confirmedPct_mean	snpPct_mean	multiPct_mean	lowmqPct_mean	highPct_mean	combined_rf_call
ESC1212206001S1K	stools_11036150	na	NZ_CP047876.1	4775730	1394518	29.2001	1387869	99.5232	1383498	99.6851	6649	0.4768	1390109	99.6838	11762	0.8434	7353	62.5149	785	6.674	4569	38.8454	5976	50.8077	77244	42.6519	45132	68.2332	0.9838	WASHB	rural	2122061	Control	NA	NA	26	Nairobi	urban	11036	Water	NA	NA	Gatwekera	309287.785315388	Between		NA	Different_loc	Esch_coli	Esch	42.606	57.333	99.743	0.2565	0.238	54.4835	11.664	0
ESC1212206001S1K	stools_11051101	na	NZ_CP047876.1	4775730	1158159	24.2509	1152008	99.4689	1147541	99.6122	6151	0.5311	1153661	99.6116	11364	0.9812	6866	60.4189	839	7.383	3874	34.0901	6260	55.0862	77244	42.6519	28111	100	0.9865	WASHB	rural	2122061	Control	NA	NA	26	Nairobi	urban	11051	Water	NA	NA	Kibera	309316.575101633	Between		NA	Different_loc	Esch_coli	Esch	32.3565	50.6835	99.709	0.2905	0.2405	50.093	11.3145	0
ESC1212206001S1K	stools_11051150	na	NZ_CP047876.1	4775730	1244986	26.069	1240028	99.6018	1235826	99.6611	4958	0.3982	1240738	99.6588	9705	0.7795	5457	56.2287	633	6.5224	4870	50.1803	3661	37.7228	77244	42.6519	22678	100	0.9858	WASHB	rural	2122061	Control	NA	NA	26	Nairobi	urban	11051	Water	NA	NA	Kibera	309316.575101633	Between		NA	Different_loc	Esch_coli	Esch	49.269	51.454	99.751	0.248	0.1745	65.658	20.387	0
ESC1212206001S1K	stools_11051501	na	NZ_CP047876.1	4775730	1261910	26.4234	1255932	99.5263	1251786	99.6699	5978	0.4737	1257708	99.667	10801	0.8559	6599	61.0962	751	6.9531	4694	43.4589	4724	43.7367	77244	42.6519	28469	100	0.9864	WASHB	rural	2122061	Control	NA	NA	26	Nairobi	urban	11051	Water	NA	NA	Kibera	309316.575101633	Between		NA	Different_loc	Esch_coli	Esch	44.0455	52.089	99.7465	0.253	0.2105	64.391	17.0125	0
ESC1212206001S1K	stools_12080501	na	NZ_CP062871.1	4987664	500860	10.042	500505	99.9291	498284	99.5562	355	0.0709	498638	99.5564	2808	0.5606	586	20.8689	233	8.2977	474	16.8803	2084	74.2165	257810	53.411	197207	79.8014	0.9619	WASHB	rural	2122061	Control	NA	NA	26	Nairobi	urban	12080	Control	NA	NA	Ngandu	304816.825531443	Between	Control	NA	Different_loc	Esch_coli	Esch	60.5805	41.9085	99.691	0.3085	0.04	24.644	1.958	0
ESC1232905001S1K	stools_11018102	na	NZ_CP098223.1	4841244	341381	7.0515	340956	99.8755	340017	99.7246	425	0.1245	340440	99.7244	1454	0.4259	513	35.282	96	6.6025	719	49.4498	626	43.0536	52842	0	41600	0	0.982	WASHB	rural	2329051	Water	NA	NA	22	Nairobi	urban	11018	Water	NA	NA	Gatwekera	307920.43760061	Between	Water	NA	Different_loc	Esch_coli	Esch	1.184	26.3155	99.8305	0.1695	0.0595	4.994	1.4425	0
ESC1247104001S1K	stools_11033501	na	NZ_CP007265.1	4758629	262994	5.5267	261270	99.3445	259502	99.3233	1724	0.6555	261214	99.3232	3709	1.4103	1929	52.0086	242	6.5247	1674	45.1335	1467	39.5524	122065	87.2388	91745	87.305	0.9879	WASHB	rural	2471041	Control	NA	NA	27	Nairobi	urban	11033	Water	NA	NA	Gatwekera	295524.506476935	Between		NA	Different_loc	Esch_coli	Esch	11.906	28.056	99.6195	0.3795	0.247	30.069	22.467	0
ESC1247104001S1K	stools_11038101	na	NZ_CP007265.1	4758629	197380	4.1478	196641	99.6256	195117	99.225	739	0.3744	195845	99.2223	2356	1.1936	821	34.8472	96	4.0747	1404	59.5925	728	30.8998	122065	87.2388	98494	68.1808	0.986	WASHB	rural	2471041	Control	NA	NA	27	Nairobi	urban	11038	Water	NA	NA	Gatwekera	295526.008129162	Between		NA	Different_loc	Esch_coli	Esch	4.2535	21.613	99.5965	0.4025	0.152	30.1285	2.0285	0
ESC1247104001S1K	stools_11045101	na	NZ_CP007265.1	4758629	324001	6.8087	322629	99.5765	320389	99.3057	1372	0.4235	321751	99.3056	3961	1.2225	1711	43.1962	359	9.0634	1297	32.7443	2215	55.9202	122065	100	151968	45.301	0.9802	WASHB	rural	2471041	Control	NA	NA	27	Nairobi	urban	11045	Water	NA	NA	Gatwekera	295461.560117036	Between		NA	Different_loc	Esch_coli	Esch	2.542	32.857	99.471	0.529	0.2065	11.7325	7.3405	0
ESC1358302001S1K	stools_11005101	na	NZ_AP022177.1	4733200	383359	8.0994	382206	99.6992	379940	99.4071	1153	0.3008	381084	99.4066	3574	0.9323	1299	36.3458	157	4.3928	2098	58.7017	1280	35.8142	60568	68.1201	196938	23.5531	0.9653	WASHB	rural	3583021	Control	NA	NA	79	Nairobi	urban	11005	Water	NA	NA	Gatwekera	296193.723027827	Between		NA	Different_loc	Esch_coli	Esch	1.909	28.6425	99.638	0.3615	0.149	13.761	1.39	0
ESC1358302001S1K	stools_11018102	na	NZ_AP022177.1	4733200	583656	12.3311	581459	99.6236	578512	99.4932	2197	0.3764	580689	99.4917	5398	0.9249	2431	45.0352	315	5.8355	3206	59.3924	1757	32.5491	60568	91.0514	87348	64.5865	0.9926	WASHB	rural	3583021	Control	NA	NA	79	Nairobi	urban	11018	Water	NA	NA	Gatwekera	296021.467606958	Between		NA	Different_loc	Esch_coli	Esch	2.564	32.6285	99.683	0.3165	0.1675	23.181	2.4235	0
ESC1358302001S1K	stools_11034101	na	NZ_AP022177.1	4733200	761921	16.0974	757142	99.3728	753690	99.5441	4779	0.6272	758442	99.5434	8592	1.1277	5113	59.5088	544	6.3315	4694	54.6322	2956	34.4041	60568	91.0514	53229	90.2985	0.9969	WASHB	rural	3583021	Control	NA	NA	79	Nairobi	urban	11034	Water	NA	NA	Gatwekera	295917.589911529	Between		NA	Different_loc	Esch_coli	Esch	8.685	38.5695	99.7425	0.2565	0.27	45.876	2.153	0
ESC1358302001S1K	stools_11037150	na	NZ_CP028117.1	5198840	2695004	51.8386	2684045	99.5934	2678789	99.8042	10959	0.4066	2689715	99.8037	17563	0.6517	12274	69.8856	1650	9.3948	9421	53.6412	6024	34.2994	121735	60.308	124655	62.0986	0.9778	WASHB	rural	3583021	Control	NA	NA	79	Nairobi	urban	11037	Water	NA	NA	Gatwekera	295863.148955449	Between		NA	Different_loc	Esch_coli	Esch	6.5885	66.839	99.8085	0.191	0.21	23.117	1.7705	0
ESO1212204120S1K	stools_11038150	na	NZ_LR882493.1	4841444	204444	4.2228	204108	99.8357	202720	99.32	336	0.1643	203054	99.3201	2619	1.281	1229	46.9263	897	34.2497	1139	43.4899	523	19.9695	361789	47.6916	156185	100	0.9656	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	11038	Water	NA	NA	Gatwekera	309198.299446544	Between		NA	Different_loc	Esch_coli	Esch	1.186	24.7075	99.0865	0.9135	0.0575	6.868	1.0615	0
ESO1212204120S1K	stools_11108150	na	NZ_LR882493.1	4841444	661565	13.6646	659325	99.6614	653615	99.134	2240	0.3386	655833	99.1336	9978	1.5082	4246	42.5536	2047	20.5151	4421	44.3075	2864	28.7031	361789	51.5662	136713	100	0.9487	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	11108	Water	NA	NA	Kibera	309452.239761497	Between		NA	Different_loc	Esch_coli	Esch	2.5955	35.3835	99.1485	0.8515	0.1745	16.482	1.894	0
ESO1212204120S1K	stools_12062501	na	NZ_LR882493.1	4841444	691908	14.2914	689387	99.6356	683692	99.1739	2521	0.3644	686201	99.1752	11561	1.6709	5854	50.6358	3369	29.1411	2638	22.8181	5060	43.7678	361789	52.8692	173853	100	0.9556	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	12062	Control	NA	NA	Ngandu	304616.968149261	Between	Control	NA	Different_loc	Esch_coli	Esch	1.572	35.216	98.9355	1.065	0.182	3.9725	0.971	0
